"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"	"X18"	"X19"	"X20"	"X21"	"X22"	"X23"	"X24"	"X25"	"X26"	"X27"	"X28"	"X29"	"X30"	"X31"	"X32"	"X33"	"X34"	"X35"	"X36"	"X37"	"X38"	"X39"	"X40"	"X41"	"X42"	"X43"	"X44"	"X45"	"X46"	"X47"	"X48"	"X49"	"X50"	"X51"	"X52"	"X53"	"X54"	"X55"	"X56"	"X57"	"X58"	"X59"	"X60"	"X61"	"X62"	"X63"	"X64"	"X65"	"X66"	"X67"	"X68"	"X69"	"X70"	"X71"	"X72"	"X73"	"X74"	"X75"	"X76"	"X77"	"X78"	"X79"	"X80"	"X81"
"CO01"	0.119643185436059	-0.150092182879266	-0.0333466276006252	0.0310614200085084	0.0983058764749127	0.0332478946031628	-0.00231254045552519	-0.0681568042795997	0.0624030602627801	0.0348637433975517	-0.0298178692482647	-0.0154045911442402	0.0161911218863697	0.0528348751625364	0.0790333738570955	-0.0027479765863717	-0.0079120740175188	-0.0110764872561777	0.0435982929558744	0.00380687201087633	-0.0405036932636824	-0.049991518868524	-0.0117751071656945	-0.0330189605640494	-0.0374333340693681	-0.0559429741168208	0.0224894985968848	-0.0430756580086519	0.0135507999699266	0.0500389827405662	0.0356458640862587	-0.0368630433418441	0.0395921364224484	-0.0187464194314333	-0.017986564094033	0.0462978602066915	-0.0335962423407159	0.0184276582650001	-0.00426393757809701	0.00931858993555118	0.0424757766685517	0.0492244279416377	0.0448500485392812	-0.00163375921895332	0.00251578567905765	-0.0370636021345974	-0.00944271454560572	0.00027518456953106	-0.0069180545783083	0.0157329747971136	0.0175974404657905	-0.0039663190144315	0.0130132213822618	-0.00132926764392206	-0.00526736775951255	-0.0118470275066145	-0.00889242759565257	0.0072585751202996	0.0218393612858605	0.00048152434280766	-0.00139700484626061	0.0133085524602201	0.00368335190418754	-0.00839019468004118	-0.0017596077111771	0.0185517899933505	0.0162006392472054	0.0256073432130937	0.0102415502673804	0.00458712373675014	-0.00349496719941569	0.00656871926390314	0.00778348101965056	0.00141697532490235	0.00217503096071305	0.000759957995205805	-0.00184033700227649	0.00198351221057019	0.00153751055806579	-0.000850488615144208	-0.000231946042791877
"CO02"	-0.129978127615182	0.101939270176992	0.0815019816292346	0.136154973240364	0.0453868563067843	0.00652502826929525	-0.129323654788486	-0.0616268412647176	-0.000394143405433918	0.0028740793546857	-0.0259506849126243	0.0150027442504246	0.061714023324604	-0.0288654281410657	0.0133638584145848	-0.0689671026893783	-0.0425467858442577	0.0086351900316458	-0.0313170696449532	-0.0277227050753268	0.00343244510765269	-0.0057239566323874	-0.0395039504983069	-0.0458418331723891	-0.0221164999330889	-0.0369072341708228	-0.0152411034041552	-0.0549548439294774	-0.0664732146153485	0.0658535717840591	-0.000637829909359894	0.0232804972998482	0.00591172843902877	-0.019120854687559	0.00420665062204073	0.00629098741192183	0.010997452206149	0.04667331362168	-0.00596141117476554	-0.0129950895779952	-0.014631255234693	0.000148428569856479	-0.00174120678425412	-0.0378830586157202	-0.030484485642412	-0.00392033926135016	0.00552399137388191	-0.0116853652402743	0.00208867286391264	-0.00469536048625304	-0.00948076475184867	-0.0291577834434037	-0.0213826509065583	-0.0146490170607596	-0.0212219391610656	0.0334121161213327	-0.0184750836290317	0.0270991421852602	-0.0105349357520255	0.00368169622222304	-0.0127890567380645	0.0122274555427208	-0.018096575842462	0.0172437256661077	0.00610312878759778	0.00104075580706797	-0.0027059527796884	0.00165871740829177	0.00301265617088905	0.00626142626261205	0.00786152915026845	-0.00436522645487843	0.00953316702379564	0.0119993944627021	0.00704123365683637	-0.00356593337697831	0.00424846212684975	-0.00213940077410391	-0.00319238753436516	0.0011865887765069	0.00105719881045801
"CO03"	-0.132710044466234	-0.107176846224406	-0.00338306383891064	-0.0179472329640327	0.144193907699449	-0.045163485140133	-0.0359467454654504	-0.0057185768915601	-0.0526527269016398	0.00409249306649141	0.035189143241182	0.0421387642177335	0.0035182521364013	-0.0344521516765343	-0.0314310382912901	0.0251423966074735	0.057429701660398	0.0715932173594954	0.0016121062293878	-0.0205733754009288	0.00233584650700428	-0.044841849430534	-0.0259315403085982	-0.0436934543810206	0.0278535064501063	0.0524057818005208	0.0197209758748122	0.0287657023452576	-0.00769157487935854	0.00287449290353497	0.0252368916071211	-0.027875905470255	0.0191154375947086	0.0086452831384469	-0.0437405840915545	-0.00477433327336341	0.0142334871575616	-0.0133293894477354	-0.00657673361167714	-0.0199086923948218	0.0175672103627548	0.0279183910147883	-0.00133912303957062	-0.000609863491113148	0.0129799683149636	-0.0182858624412952	0.0238035240019572	-0.0152976348861788	0.0101932656306511	0.00204116612205757	-0.0147582356302793	-0.000680288561369632	-0.00975407669728361	-0.0140158338597682	-0.0151412481187886	-0.00901239843883686	0.0156032037036782	-0.03221662059278	-0.0123310804037718	-0.0123076670928275	-0.0118379640430036	-0.0137201771435434	-0.00475555752323379	0.0225966810055961	-0.00366862525476608	-0.00477768420347071	0.0177200631575663	0.00758930032298714	-0.00717844134125926	0.00666401584551914	-0.0118840500490583	0.00107506230612562	0.00754014998707219	0.00168482520432406	-0.0108985772503445	0.000826798651490985	0.00225321843194089	0.00278379709371551	-0.0034443504799458	-0.00142389433723415	0.000183433005079808
"CO04"	0.0395990290686355	-0.125957518842817	0.0549631639897206	0.0423973345887809	0.0079810075975128	-0.00219570381053726	0.0678495103798309	-0.0513880385082539	-0.0243161865414842	0.0426205907382347	-0.0377521765542068	-0.069072085702354	-0.0195874867006264	0.082551833313689	-0.0159606019731548	0.0274435502390852	0.0308051328278001	0.0393295923922576	-0.00336765728030721	0.0398891410670081	0.00141072060468135	0.042477036755844	0.0218452688327766	0.000507324214418509	-0.0167745242373397	0.00598515773820705	-0.0192948219609146	-0.0151745113499396	-0.0190685985557407	-0.00782107972105173	0.0451676652392877	0.0561977461777123	0.000670214110595946	0.00663073849023467	0.0126121580990035	-0.0114062697104714	-0.0209076442433108	-0.0638570674598212	-0.00123592246938346	0.0210919252492259	0.0489561017272688	-0.00379346287933699	0.020770926142542	-0.0278472682424868	0.00809507704848866	-0.0198517222206952	-0.0146198246017309	0.0261240960151416	-0.0223281660974102	-0.00437024623542795	-0.0223329724313545	-0.00429587024119254	0.0135872896527013	-0.0296850206767853	0.00599112720654892	0.0184455323917763	-0.041098569418677	-0.00483623701752536	-0.00206356861950581	-0.0262012111807507	-0.00678835237362471	-0.0282956385179743	-0.0117138795364553	-0.00553713451967802	-0.00408670180306234	0.012397189157271	-0.00306229350498007	0.00505799186138755	-0.0134899726965773	-0.00973553984381462	0.000226155616535312	0.00778180426570806	0.000103373284029834	-0.00088373421104679	0.00650197141957489	-0.010680677362752	-0.00478972286641149	-0.00400645400921106	-0.00375457190923641	0.00100351770362846	-0.00234237322833686
"CO05"	-0.0599402744104225	-0.148708926328726	0.148834528899971	-0.0286561344531194	0.094695330899699	-0.0778260843084179	0.0619958287315464	0.0797764680342432	-0.0564412611814783	-0.0114671346583245	-0.000683415746136699	-0.00375757188844251	-0.0894523790966272	-0.0184427961262043	0.0229630661852381	-0.044693862010817	-0.00709381277272066	-0.0243768846741112	-0.0273036406328213	-0.013209746682498	0.065600816755479	-0.00992363527284004	0.0981515051722772	0.0279076132237483	0.0570794411051726	0.0111015313802742	-0.0359571402310572	-0.0157193511179965	0.0415186520074446	0.021542378913384	0.0392976986045088	-0.0303708726546731	-0.012095457060206	-0.00444300035417501	0.00682586631918905	0.0169192023968958	0.0113011989198232	0.0505445639593702	0.00899679230190945	-0.0102113255532642	0.0097108423745326	0.00179150437917438	0.0279287787685733	0.00874652539356708	0.0112563271334312	0.0250075716064963	0.0158613911614252	0.00960449735849826	0.00168575027323678	-0.0435546555433774	0.000921547292150033	0.000802313533484	-0.00899141110905906	0.00933400796705734	0.00275121088708921	-0.00069578048461699	-0.0220926224488793	0.00415781082338703	0.0087513398992519	-0.0257844613656229	0.00569498103483893	0.000676778679686482	0.0031192106539278	0.00679609756475691	0.0194084503813268	-0.00869040286181505	0.00123827052034112	-0.00570125081535492	0.00182799337111262	0.00655153733642113	-0.00694879289982367	-0.00889586420608579	-0.00126220377869236	0.00527000343132204	0.00210523514073182	-0.00526730848796888	0.00352266569103381	-0.00236820628978185	7.91321722089966e-05	-0.000575164653169391	0.000842636502009548
"CO06"	0.281200074049457	-0.0974701250042365	0.122168537080516	0.0328095480299177	-0.0941755630393266	-0.0343883735386546	0.0826734716606263	0.0434844942783179	0.082249085254813	0.0336675073599831	-0.0236792299348109	0.0681356860394649	0.0355651395566833	-0.0138533199908235	-0.00962153282293607	-0.0198724681948276	0.016242042091631	0.00545714691907376	-0.0971651728395923	-0.0348203116081908	0.0192421299570813	-0.0214917553826707	-0.0692806360337929	0.044639639746348	0.0322346421170756	-0.0286731958808017	-0.00418260625309664	0.005544042060051	-0.0171992874158786	0.0837934679942495	-0.0428097480246866	0.0372875614394169	0.0389568741692512	0.025710490892389	-0.0318567472434216	0.0474780793622379	-0.00149565750773466	-0.0690306417705188	-0.0292091500261806	-0.068117494035942	0.00217180268834544	-0.0612327831382111	-0.017688795891851	-0.00391038218360167	0.00411013299230606	-0.0261674875387034	0.013584585212181	-0.00943172981752053	-0.00173013580019196	0.0207615908979227	-0.0299421470307464	-0.0185156893752306	-5.43415105570261e-05	0.0112763221158752	0.012068123705236	0.00717566779140433	0.0118352623093741	-0.000976760560923136	0.0197378571144195	0.0184363700519063	0.0132054804103178	0.0178872985965223	0.00686843926862977	-0.00242833130046716	-1.68473677358674e-05	-0.00580813897752278	0.0116137798154082	0.00115793450372408	-0.000904967183944948	0.00726852313981701	0.000886257940357085	-0.00130898043672994	0.00416467918005865	-0.00776421683627242	-0.00328644247740013	0.000708957781732458	-0.00169386633915545	-0.00177800415547378	0.00108406858800361	-0.00198332543092664	0.000476484671235613
"CO07"	0.115056291760566	-0.129245460862809	0.0936971186011582	0.0653274234384459	-0.0532685821717997	-0.101256061924576	0.00357384113712186	-0.021749230850368	0.0292362736524871	-0.0253743220622279	0.010526947709075	-0.00859004975097945	0.0119538214209647	0.014849010104173	0.0113058750627193	0.0527608080806115	0.0775105609306803	0.0390938250986168	-0.0270897601615913	-0.0386306859529209	-0.0396253372605613	-0.039839771343548	-0.0970130747894034	0.0316511284486411	-0.0269978289682652	0.0121839665968845	0.0464707079878899	0.0246824432171012	0.0100977785225575	-0.00908381814742667	0.0481158973593771	-0.044108601814172	0.0172351132555153	-0.00381201687895638	-0.0389425219098282	0.0067612241173619	-0.0451702577426974	0.0127284172229586	-0.000114389961892221	0.0534131334396183	-0.00353099971217436	-0.0126602596263595	-0.041340592890988	0.0217470205364129	-0.0111266415253891	-0.00392782504029944	-0.0128800097557231	0.0061125328419812	0.010561600401901	-0.0345539154163434	-0.0288582448821419	0.00503095181484368	0.0195836220179976	0.0237525014369039	-0.00108746566376851	0.00971129429798425	-0.00718644694283929	-0.00247238280637877	-0.0164069669172195	0.0039123293353583	0.00552566446793447	-0.0104549441581404	-0.00872056543563679	-0.0123195373679686	-0.00390039484449053	0.00380370876472944	-0.0110383537980479	0.00298973129048712	-0.00584482618670251	0.00791685538283623	-0.00369574035706813	-0.00212690129258803	0.000700330471221934	0.00765199921550794	0.00687638309550586	-0.00745509451079031	0.00514899752721609	0.00464475987780524	-0.000512324865725549	-0.000263173252045458	-0.000281380683268927
"CO08"	-0.0649158337798182	-0.139162868404485	-0.0448636726433601	-0.0256765019629873	0.0260799457171658	0.0201314156983064	0.0571045132602487	-0.0122148836989702	-0.00886343856628329	0.0263962341047574	-0.0256350327873608	0.0434492951079426	-0.0286992580444734	0.0185508893263304	-0.0295654714067831	-0.0648231637051944	0.0254518194174084	0.0182026708817226	0.0176438007474164	-0.0423495057755949	-0.02010622179137	0.15367119347704	-0.0342231952852801	0.0305123715308578	0.0629532435829673	0.0888187367732302	0.0664915905949518	0.000749216267795889	0.00648883460834307	0.0252313688140088	-0.0011180416290353	-0.0292810419632051	0.00502485568050927	0.00395501005964459	0.0412423280708744	0.0302755809579529	0.00720055783860944	-0.0198122403043666	0.0172173145789742	0.00543401294469457	-0.0357460207755779	0.0237921352657035	-0.00670257339607935	-0.0231345271993509	-0.0125101204020934	0.000350032415962239	-0.0131849191384066	-0.0125771494042787	0.00432363714022605	-0.00643105786524066	0.028964212750141	0.0285814671401322	-0.00570274471979127	0.00950453277415382	0.0128056767713321	0.0104621614446815	-0.00830451239071643	0.00177895330884861	-0.0219467132414653	-0.0124615643828856	-0.0016114546797754	0.0195326608745772	-0.0216862856225075	0.00475570134455889	0.00958167196041026	-0.016514736571574	-0.00084373101432702	-0.00313171693398743	-0.00209769134728713	-0.00783938948026317	0.00655495861869067	0.0010338787577234	0.0049344627994666	-0.00246262408572971	-0.00339324095995489	0.00769214707556205	0.000518599626565643	-0.00661093658056718	0.00434844710078721	0.000959600142998056	-0.00132359129882513
"CO09"	0.131322138702442	-0.150596916810529	0.125853950465816	-0.0530235730111357	0.0153693372144863	-0.032569366446917	-0.108433724896698	-0.064211331065705	0.106074103439104	0.0119942163304583	0.00794643641829355	0.0204833884682341	0.0663635345450976	-0.031557642589071	0.0191710603997899	0.0543722837988672	0.0506022765842817	-0.0475562021744921	0.0687508157378764	0.00425345143789392	0.00315224742563897	0.0280936976791223	-0.0578529269543474	0.0208158724176985	0.0243264785308912	0.0251883884232627	-0.036959769854986	0.0648483496863976	0.0511213036254213	0.0276111482811081	-0.0685357677563845	-0.0366914287712727	0.00328217526539484	0.052412406214524	0.000711983896608837	-0.0258981462815651	-0.0303551634558571	0.00167912482819548	-0.0394471977156689	0.00600206862407356	0.0288559186626982	0.0336196876658131	-0.0104934248157276	-0.00664087998983601	-0.00284490268014543	0.00414388142937341	-0.00313957895991872	-0.00446386828478858	0.0228981294880242	-0.0188375765278532	0.00431547838643693	0.0136078181061581	-0.0167276457733128	-0.0220193662114193	-0.00549186851374897	0.00883872551938686	-0.000888685388133252	-0.00143990308965005	0.00589667113333574	-0.00781705202045922	0.0160052303683337	0.00775498912529053	0.00719592800918051	-0.00862416458360564	0.0247867801892718	-0.00133150395004065	0.00664004782638625	0.00790990209127485	0.00283708240318528	-0.00542381075343988	-0.000486756610595634	-0.000209727924494245	-0.00414473737648675	0.00104575323044281	0.000336174119640318	-0.00529971415536425	-0.00428209233948306	0.00289470336138082	-0.00293567437863146	-0.000685184571856529	-0.000228752723682738
"CO10"	0.392521761130808	-0.0181073149857076	0.010276601791581	0.0536556536469066	-0.0184586021708094	-0.0791327636989231	0.0330528797230653	-0.000917036516409738	-0.0239923482792137	0.0601486223060688	0.0292715333556511	0.0312847528531309	0.0279616266106981	0.0138246034764871	-0.0207535506829726	0.0328716043802143	0.0252488791616108	0.0575474299333412	-0.00111127428471858	-0.0198665027371384	0.0900646688953415	-0.0462109086623923	0.0428266167731314	0.019355181540595	-0.00661039073757204	-0.058141577262695	0.0455518356418971	0.00171844147861362	-0.00954333534683901	-0.0307446235072386	-0.0485603557394256	0.0145344123277359	0.0392122697478017	0.00382945020575882	0.0160774563488195	0.0211496649876675	0.0487827079339372	-0.0260301957851064	-0.0337941163469041	-0.0126537709698318	-0.0183027673285743	0.0191942518156152	0.00950552441301936	0.0507587523342612	-0.00550069309267618	0.0201168535810266	-0.00611475341850228	0.0276520695929664	-0.014712911646569	-0.00439563287448356	0.0103546718551197	-0.00141157624593026	-0.0216839199974001	-0.00461054947254658	-0.0215215740028959	0.00306164131186266	0.00796328948782121	0.00228333150308823	0.0120710306628143	0.0285089815090909	-0.0188974278724403	-0.0058567380203934	0.00818453096677011	-0.0056521346145026	0.0129666067394016	0.00840163978994303	-0.00914263427357173	-0.0047398230714231	-0.00441999915019812	0.00131234435806689	0.000398968835973502	0.00198543723270647	0.00223696608149371	0.0069801750564308	-0.00161227482829046	-0.00647066390028559	-0.00367983111884938	-0.00241055424585872	-0.00188328476352812	0.00138244354761294	-8.45189565374743e-06
