"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"	"X18"	"X19"	"X20"	"X21"	"X22"	"X23"	"X24"	"X25"	"X26"	"X27"	"X28"	"X29"	"X30"	"X31"	"X32"	"X33"	"X34"	"X35"	"X36"	"X37"	"X38"	"X39"	"X40"	"X41"	"X42"	"X43"	"X44"	"X45"	"X46"	"X47"	"X48"	"X49"	"X50"	"X51"	"X52"	"X53"	"X54"	"X55"	"X56"	"X57"	"X58"	"X59"	"X60"	"X61"	"X62"	"X63"	"X64"	"X65"	"X66"	"X67"	"X68"	"X69"	"X70"	"X71"	"X72"
"CO01"	0.0178071484072563	0.000567918036471102	0.00161555771650083	-0.00074559410605768	0.000642141533122659	0.00229963047365369	0.0017819066628876	-7.41616374666907e-05	0.000113518201346379	-0.00109642364484825	-0.00047238046884599	0.000318377644502865	-0.00040609046539849	-0.000737956753519222	0.000413335057003725	-8.58049637449321e-05	0.000392591152699421	0.000318257278257333	0.000379021778295628	-0.000325803856033344	0.000289838270208858	-0.000397816106883709	0.000279516964519057	0.000306895422847179	0.000554840442724217	0.000147432540439577	-9.18372080347954e-05	-0.000164442349598165	7.20579216953279e-05	0.000111567392875282	-0.000393498986761138	0.000396676257151945	0.000701383673968199	-0.000563006928976807	-7.99689536796502e-05	5.01366119282977e-05	0.000331938516730451	-0.000277970159166452	0.000332871384068955	0.000425664313237358	-5.69243643277175e-05	-0.000471888734986212	-0.000153544339347332	5.84928408378149e-05	-0.000288000683529942	0.000115653799481817	-8.22899391690517e-05	-0.000147743414366888	0.000378309044984474	0.000301321050268472	-0.000350893859213524	7.51389380146707e-05	9.99352208639404e-05	-0.000113219980491645	-0.000184136368700726	-4.10418609411071e-05	-0.000270712248403568	0.000265961775598197	3.72896432489757e-05	0.000461222083062789	-3.13884704209561e-05	0.000244344896329163	-0.000288696427144593	-0.000326765828103323	0.000246359991674334	0.000166179440409469	-4.3703241561273e-05	0.000149317422039413	0.000108150802593549	-5.23246585698159e-05	2.15971678225129e-05	-1.28562388127534e-10
"CO02"	-0.0116864354877212	0.000602708230329652	-0.00151036964294512	-0.00119197422208353	0.0014199212076187	-6.33046745272818e-05	0.00190499909607567	-0.00117898545780973	-0.000874923531308662	0.000756076876610736	0.00047950242347187	-0.000201717804261164	-0.000639669065340366	0.000832194638631121	-0.000456355796334093	0.000446851175708965	5.05597857133458e-05	0.00150065250121362	-0.000605633246436403	0.000365079266706912	0.000560950934226437	-0.000119984477734224	0.00082871734801474	0.000665366461866193	-0.000405425645934765	-0.000395990931338145	-0.000905951579998395	-0.000490434311526104	7.07083065989372e-05	0.000156695086725939	0.00027752524200945	-0.00054172570620187	-0.000484207765967851	-7.30235809287495e-05	0.000341324013345279	0.000486181060118244	0.000857593809514853	0.000240061561312834	-0.000298780311672996	0.00018614711709172	-0.000121889641583981	-7.45923396107143e-05	0.000127367494392606	0.000509308150732377	0.000393328748406059	0.000541808092314394	1.12961461902171e-05	2.94543214679761e-05	5.50418680134517e-05	0.000618964198442139	0.000154547182059579	-0.000314110092790479	0.000158618290672672	-0.000173536867478761	0.000157750074275072	0.000281806533684221	-0.000117912837969703	1.61881520805439e-05	-0.000129829730606437	-0.000281712022600242	-2.81858087991958e-06	-9.81507824444753e-05	-0.000104741855118628	0.000127349333648097	0.000174333397509584	-4.75058931543044e-06	9.9229200625528e-05	-5.70144255188968e-05	-8.44295134726873e-07	1.11268953800261e-05	7.67641028369638e-06	-1.28562388130072e-10
"CO03"	-0.0154942959430855	-0.00396025607630599	-0.00115264861888944	-0.00224639160375232	0.00100573426509545	0.000197145432642018	-0.000510657121332507	-0.00154596230196169	0.00058289645935668	0.000259797047844394	-0.000110082388394121	-0.000101702456875819	0.000795448768843045	0.000506625664612577	0.000682551948348515	-0.00018425517729627	-0.000994120288986026	0.000229799348233005	-0.000221886034415706	0.00071614744285088	0.000509992471326562	0.000562350794605007	0.00012807301980649	0.000963059312563209	0.000167206344374337	0.000278903986117823	0.000562826273048542	-0.000257478131371391	-0.000840047415792973	-0.000159334757509347	-0.000493627321688774	9.80808377911089e-05	-0.000131453780697256	0.000568233713167102	-0.000151456875730497	0.000884096095291012	0.000322145768046755	6.63863912029172e-06	6.22891357729165e-05	0.000612146361945685	1.84552688828947e-05	4.93442584342612e-05	0.000262085461859512	3.663122953557e-05	0.000285024508344239	-0.000146114289103524	0.000347229265260017	-0.000309167592552182	-8.70907434934868e-05	-7.26005764052823e-06	-7.65154442494989e-05	0.000328025112796008	-7.52298160832196e-05	-4.74757903668265e-05	-0.000398723201289125	0.000142847616759384	0.000358003512329612	0.000166661847279655	-0.000101376988072388	3.6872641069664e-05	-3.9555300546914e-06	-0.000257126986305548	1.07396688573267e-06	-0.000138092369672198	-0.000150193565175163	8.42157770475574e-05	-2.91368398146231e-05	0.000218684956224549	-0.000117540862348351	-0.000192577186657723	1.37262364965164e-05	-1.28562388124277e-10
"CO04"	-0.0108461438157631	-0.0072430930458328	-0.00159435326025692	0.00076333207016583	0.0014490546407677	-0.00182029217688638	-0.00151404479792491	-0.00206347133146974	0.000360044908234954	-0.00132562800902018	-0.000391227280410403	0.000859251930400164	-0.000468062642130011	7.09669769673104e-05	-0.000440851035614817	3.85257739347083e-05	0.000289618582032428	-0.000318739354355851	-0.000142839540592011	-0.00234380293536577	-0.000561796092357938	-0.00100986074493586	0.000343763634951981	-8.26532569140029e-05	-0.000113775235973742	0.000219544991574621	-0.000366652256854232	8.37355403176289e-05	6.36800300063018e-05	0.000130878882724098	-9.60231277812731e-05	-4.29487440423131e-05	-0.000516392733074788	-0.000497741864095252	0.000823174304767787	0.000739200308834353	0.000525914022686981	-0.000507124631347418	-0.000393238115766402	9.64390839552369e-06	0.000187518905687946	-0.000292711331378465	0.000332907478534217	0.000281513914369899	-0.000122840810489743	0.000137172427916395	0.000121685727720023	-3.44572509996659e-05	0.000196046377238203	0.000105325536297218	0.000132559686999327	-0.000112483828512817	4.93400864107973e-06	0.000464432551089556	0.000300088403096832	6.14197310015461e-05	5.03474977092051e-06	-6.4907103220997e-05	0.000143637023416026	0.000102331241191049	4.93792277250432e-05	-8.57155516147839e-05	0.00014160963370649	-0.000104363341328254	8.4722629778305e-05	0.000212559866947926	-6.24462650356021e-05	7.02883359746208e-05	-2.17152095501672e-05	-5.9553592642797e-06	5.73487306882461e-05	-1.28562388132697e-10
"CO05"	0.00386402591743168	-0.00459398825276294	0.00360858708621821	0.00120892500281389	-0.00111391435782892	0.000356289870864892	-0.00104009253337129	0.000750813236277361	0.000796940632563436	0.000477848268017385	-0.000405443390814246	0.000696199777920112	0.0010405075848328	0.000374258568897963	0.00040739161547738	-0.0013214257691892	-0.000230461148754633	5.12127203141796e-05	-0.000233414437185519	-8.87983728934716e-05	-0.000300209123929457	0.002006640154642	-0.000155702201749793	0.000382458074472262	-0.000581992990889494	-0.000166967888753772	-0.000540559373058041	0.000112501948281555	0.000631131937225256	0.000261879028347252	-0.000296934945577893	0.000937871031560279	6.88442868508436e-05	-8.7392775464153e-05	-0.000519960263260512	0.000154961340868928	-9.31449487932433e-05	-7.48483102383991e-05	-0.000257029573158576	-2.30282382814133e-05	-0.000517655949217513	0.000223852292693884	-0.000301069190189124	0.000445717387343963	-0.000302874438284413	2.48649337608177e-05	0.000136239682216601	0.000334366720127967	-9.35176456503032e-05	0.000162282115524338	-0.000214220546524395	-0.000194439917684189	0.000183592855148213	7.66604578533569e-05	-3.04279817116657e-05	-0.000174895723026325	-0.000253671489446918	-0.000167193548423925	0.000163407799083649	0.000103679171412098	0.000169819451795596	0.000137253515744136	-9.71090298021868e-05	1.50825340980477e-05	-5.93703808895044e-05	-0.000134616264796439	0.000122732287350242	-5.18144042248499e-05	-0.000106348002838503	-4.88020473278351e-05	3.12044606691571e-05	-1.28562388128547e-10
"CO06"	0.0320548082912042	0.00246310701802998	0.000759551134345131	-0.00289928018833704	0.00218698629543753	-0.00117583296759869	2.37738790466863e-06	0.000720157942781385	-0.00237041016974319	-0.0004050324088792	0.00069035915241198	0.00223579149877054	-0.000532760839223182	-0.000515886043657498	0.000249516212600037	-0.000824493753687063	-0.000518603068209436	0.0001891685782425	-0.000499951808428614	0.0002732216163447	4.64764990682929e-05	0.000423776488403489	0.000661786362801813	-0.00157959520547026	-0.000627804222910148	-0.000338491630618702	-0.000315453342363321	-0.000478869862289792	-0.000586721002582703	0.000656372241896665	-0.000167349426020494	0.000627628829308741	-0.00028442307430627	0.000328604069443926	-0.000398707368245478	-0.000308166116973414	-0.000322812727458086	-0.00016004877573521	0.000132287112880676	0.00050725096762064	0.0002007661941242	0.000298695988930338	9.70276502313337e-05	-0.000562956033822063	-0.000232540036311102	0.000307109712272193	-8.50243469763296e-07	-0.000225031828045386	0.000228123587687329	-0.000183673978464304	0.000173675761760715	0.000191020642899819	-0.000563750545414351	5.66102651746687e-05	-4.95529702526674e-05	-0.000164789470869297	1.40945743443597e-05	0.000128637618547989	0.000193059339350241	8.76143392011771e-05	-1.63687361629157e-05	0.000136817040086951	4.17179018693524e-05	-3.68673492925503e-05	-0.000105821009062084	3.25513697452767e-05	-6.50803098726668e-05	2.53411082783878e-05	-9.1875080574396e-06	8.08042984514701e-05	6.99327107751652e-06	-1.28562388129598e-10
"CO07"	0.0198352351056243	0.00116030664106921	0.00155414159381746	-0.000552493531018778	0.000140924974533188	0.00176620473414957	0.00138668385734766	-0.00171083244327787	-0.000820123557778262	-0.000988078943001862	0.000389222453107037	-0.000816573134292747	0.000571762271497624	-0.000812666251010665	0.0011544283374497	-0.000222826284497546	-0.000571866070357642	0.000236316828840063	0.000414294712179308	-0.000765582294395041	0.000792551863646047	-0.000553669806273904	0.000210000946367143	-0.00010608075189903	0.0012445012692978	-4.7689142737445e-05	-0.000165312997351469	-0.000110193892668684	0.000497591103655858	4.57298730775169e-05	0.000678468388987296	0.000416903365449592	0.000182602969894793	8.22280437179204e-05	3.0001734793655e-05	0.000315590689860135	-0.000663124645147406	-0.000185230549899379	0.000405482753616147	-5.77435584064755e-05	-0.000376279269175399	0.00041965770176017	-1.87953987576892e-05	0.000322144509926292	9.33350195636951e-05	0.000911231548984685	-3.62867337407527e-05	0.000234627854749161	-1.21361111477974e-05	-0.000207380531699451	0.000425607098969251	-0.000233672694148704	-8.08761867050467e-06	0.000191712378770354	6.87361450871413e-06	-0.000374426372579744	-0.000316605971094191	-0.000275321364597261	-0.000296523380093895	5.57050770103273e-05	-4.71984421762215e-05	-2.86296269650207e-05	9.62774078609787e-05	5.96372602445207e-05	-5.88322184484934e-05	3.7791470347588e-05	-7.22388941054198e-05	-0.000117300751405353	-5.71756861467116e-05	1.37421236886664e-06	-4.48721873626319e-05	-1.28562388130624e-10
"CO08"	-0.00646115567504145	-0.00744784506010518	-0.000744457541962546	0.00108882224854572	0.00133132965537939	0.000775079043728184	-0.00122757609979668	-0.000293735312519066	-0.000888007360051457	-0.00115340026891338	0.000947478912811312	0.000168845490056007	0.000631473668002742	-0.000157710948368053	-0.000644141220897338	0.000692845597793161	0.00118773803590019	0.000211509555820514	0.000832656593582702	0.000696149851326006	0.000542644568703866	-8.74531012119919e-05	-0.000353816240885267	-0.000151210577039592	0.000436796414590945	0.000773681901745887	0.000613567217957544	0.000503190709563447	-0.000437831147674788	-0.00056468769008574	-0.000507086709109726	-2.60784987075083e-05	-0.000379482607599434	0.000108830552946365	-0.000294688451847154	1.851988439751e-05	-4.75448277572329e-05	-0.000137533117566776	0.000165021255362622	-7.77067847028894e-05	-0.000483858389050503	0.000367781766915356	0.000483126292939934	0.000315671342115298	-0.000389635102788486	-5.45469093739983e-05	0.00021642199208065	-0.000165382338447956	-0.000418116438952119	0.000362991581979039	0.000151843358358366	0.000507587561977576	-0.000138952885589938	-8.35910414437256e-07	9.95921179162643e-05	0.000156337838695582	-0.000135452735460637	3.74641970338165e-07	-0.000471359868411416	-0.000227585710855427	-7.24684986550561e-05	6.69427795312812e-05	6.93800942752322e-05	-6.54778639528384e-05	-1.76961885456844e-05	4.94811198818887e-05	-9.41498773613029e-05	-4.27512407868169e-05	3.13602599551571e-05	-0.000106916021418755	1.74488238666143e-05	-1.28562388129493e-10
"CO09"	0.0268230668483737	0.00213212104791723	0.00167398223794141	-0.00223222187173505	0.00221695811674153	-0.000423639278734391	-0.000276368024917497	-4.98161623817397e-05	-0.00105873321967023	-0.000677041331732098	0.000775091091725072	-0.000985129684432873	-0.000704757587871988	-7.78123169971846e-05	0.000695841567820499	-0.000885222216559716	-0.000242301095893637	0.000225432760002993	-0.000931709506509316	0.000319978877756778	0.000244821570703472	-0.00022214033399625	-0.000334985480776648	-0.000421130252144853	0.000148170813896186	0.000195401842249061	0.000145604691978666	0.000115098547036261	-0.00052481666075641	0.000416928684832935	0.000575064199014305	-0.00125063607855227	0.000381337267893077	-0.00057254485823076	-4.18952069473983e-05	0.000286994626264422	-0.000955814481052184	-0.000297531554009496	9.31235319663857e-05	-0.000336405920262277	-0.000226458192711601	0.000261316285614746	6.99399018734093e-05	0.000395942064010961	-7.53358467483455e-05	-0.00036297081311815	-0.000281692848580749	-0.000179841704123232	8.17271599663367e-05	-0.000184880417757507	-0.000408552750173494	7.71601493399979e-05	0.000192470785438063	-6.97285637852768e-05	8.44797790329123e-06	-0.000112174093548104	0.000152981803982958	-0.000144625205594185	0.000210390461052883	1.78448493696674e-05	-8.48039977708669e-06	-7.56112750521938e-05	-0.00033193806664448	-0.000132584323071508	-3.38253421698391e-05	-0.00024977775220282	-6.47769633077357e-06	-9.74533288275484e-05	-2.99018602845548e-05	-4.73463368322168e-05	1.37833216023578e-05	-1.28562388132035e-10
"CO10"	0.0494681096622235	0.00484692411393432	-0.00322051615721538	-0.000611661186460787	-0.000331191526064793	-7.59038799932049e-05	-0.00168527837189981	-0.00109970840155016	-0.000619986393484085	0.00142406238165356	-0.00056389207056877	0.000444787045033564	0.000115579941148325	2.00687002636713e-05	-3.99992171072262e-05	0.000689683721640288	-0.000572541677222386	2.62494629291514e-05	0.000470846931467857	0.000145723017429596	-1.8314924509404e-05	5.44996874103585e-05	0.000582343279560147	0.000721428066882828	5.32196704739505e-05	-6.60350699904111e-06	-0.00033773283588301	0.000314119140400434	0.00019450528843288	0.000388263599390706	0.000163707317714449	-0.000317483800380454	0.00076182398484715	5.5708429867577e-05	-0.000229504359165797	-0.000210343853092068	-0.000356895896923189	0.000439755540942451	0.000412764978964113	-3.36566753944497e-05	0.000395728515515926	0.000305314944509995	-0.000196136921149098	0.000228242479555016	0.000288766382446818	-0.000276496954865896	3.5185724340519e-06	-0.000235111277427222	-0.00025826933216635	3.5924124334122e-05	-0.000287545029134181	-0.000460733932359177	-8.09292348509393e-05	0.000588692079916778	0.000310870215429377	0.000624717866048705	-0.000204633716625334	0.000125286614221164	-7.43906749706725e-05	0.000134277907317222	-0.00015816706984461	3.80459942152975e-05	0.000108343646818095	3.0530980760896e-05	0.000174623512624073	3.41135112720131e-05	-0.00010566671699449	4.63205392802159e-05	-0.000102803148048963	-0.000111240243705028	-2.92144935166598e-05	-1.28562388131328e-10
