Gene	Control	Grave_I	Grave_II	SIZE	Group
gene_id_97025	16.58894516	13.4157375	3.520086111	1	#B0E0E6
gene_id_97024	12.16127742	9.629185938	2.578697222	1	#B0E0E6
gene_id_97029	15.85974516	13.14040625	3.450894444	1	#B0E0E6
gene_id_103847	3.490998387	6.24020625	12.37963889	1	#B0E0E6
gene_id_103848	3.353240323	5.674840625	12.11058889	1	#B0E0E6
gene_id_129020	8.164370968	8.231617188	5.101	1	#B0E0E6
gene_id_129021	10.40489355	10.10415625	6.521555556	1	#B0E0E6
gene_id_61417	8.005987097	6.7360625	3.523288889	1	#B0E0E6
gene_id_115854	4.76713871	6.160815625	8.910966667	1	#B0E0E6
gene_id_128352	10.02559355	9.971239063	6.359919444	1	#B0E0E6
gene_id_96136	91.39608065	92.033875	53.20852778	1	#B0E0E6
gene_id_136826	7.361416129	10.367175	11.71748333	1	#B0E0E6
gene_id_97529	14.82961613	11.47679219	3.170822222	1	#B0E0E6
gene_id_128773	7.568954839	8.853710938	6.626980556	1	#B0E0E6
gene_id_40023	8.709137097	10.05181094	0.846663889	1	#B0E0E6
gene_id_103590	4.765872581	8.321198438	17.81567778	1	#B0E0E6
gene_id_56082	13.06214516	12.10626563	7.629658333	1	#B0E0E6
gene_id_98648	8.821614516	7.478510938	1.970980556	1	#B0E0E6
gene_id_98642	26.5858629	21.27403438	6.133477778	1	#B0E0E6
gene_id_98643	23.92981613	19.32969688	5.160130556	1	#B0E0E6
gene_id_98640	14.23641129	11.44175781	3.107633333	1	#B0E0E6
gene_id_98641	14.14514516	11.35589063	3.487716667	1	#B0E0E6
gene_id_98646	31.72911452	27.23582656	8.142113889	1	#B0E0E6
gene_id_98647	29.44274677	24.51245313	7.653233333	1	#B0E0E6
gene_id_98644	14.97389194	11.98936094	3.263330556	1	#B0E0E6
gene_id_98645	24.72825645	20.6865625	6.491422222	1	#B0E0E6
gene_id_89542	3.616772581	12.75687656	12.19482222	1	#B0E0E6
gene_id_89545	7.730754839	9.03690625	9.897205556	1	#B0E0E6
gene_id_89544	47.67492419	49.27916406	48.34024167	1	#B0E0E6
gene_id_90020	20.13784032	14.41920313	7.718636111	1	#B0E0E6
gene_id_56627	14.03499677	12.01675156	8.502197222	1	#B0E0E6
gene_id_110365	8.242727419	8.7707125	0.052905556	1	#B0E0E6
gene_id_99114	22.45008226	18.47076406	5.125352778	1	#B0E0E6
gene_id_99111	13.98994032	11.34110156	3.460627778	1	#B0E0E6
gene_id_99110	20.67593387	17.11645156	4.867222222	1	#B0E0E6
gene_id_99113	47.67557903	39.64509219	10.91259444	1	#B0E0E6
gene_id_99112	12.42351129	10.31688438	3.293633333	1	#B0E0E6
gene_id_83020	10.54982258	7.92896875	4.947972222	1	#B0E0E6
gene_id_90349	15.32082258	17.52923438	17.06368056	1	#B0E0E6
gene_id_78540	9.986193548	6.666375	6.456666667	1	#B0E0E6
gene_id_58849	12.33075806	11.70298438	6.843763889	1	#B0E0E6
gene_id_58844	9.267532258	6.80805	3.295177778	1	#B0E0E6
gene_id_117833	8.169079032	10.51939531	6.207861111	1	#B0E0E6
gene_id_59718	9.214264516	5.798490625	5.090291667	1	#B0E0E6
gene_id_138071	6.69185	8.773401563	15.06381389	1	#B0E0E6
gene_id_96235	10.07205968	8.172001563	2.235041667	1	#B0E0E6
gene_id_96234	27.83453065	23.61049219	6.640966667	1	#B0E0E6
gene_id_96237	26.79589032	22.09492969	6.272516667	1	#B0E0E6
gene_id_79293	14.04317903	15.285125	11.29995278	1	#B0E0E6
gene_id_96231	11.82128871	9.845085938	2.902025	1	#B0E0E6
gene_id_96233	10.43187419	8.391770313	2.332744444	1	#B0E0E6
gene_id_96238	24.76725484	20.74985	5.752408333	1	#B0E0E6
gene_id_97727	18.32806452	16.09953125	14.49200833	1	#B0E0E6
gene_id_97728	7.404741935	8.696998438	3.339238889	1	#B0E0E6
gene_id_97184	35.38898387	29.26812188	8.602436111	1	#B0E0E6
gene_id_97185	13.89511935	11.65807344	3.421825	1	#B0E0E6
gene_id_97186	13.03121935	10.66023594	2.862369444	1	#B0E0E6
gene_id_97187	11.05754839	9.07556875	2.605194444	1	#B0E0E6
gene_id_97181	14.62455968	12.16647031	3.677780556	1	#B0E0E6
gene_id_97183	29.71179839	24.56130938	7.027208333	1	#B0E0E6
gene_id_97189	17.90149194	15.00755156	4.080608333	1	#B0E0E6
gene_id_90272	4.830066129	6.965703125	7.235916667	1	#B0E0E6
gene_id_127962	7.526241935	7.080023438	4.473258333	1	#B0E0E6
gene_id_68009	6.649645161	11.60912813	11.40199444	1	#B0E0E6
gene_id_68008	12.46824194	26.80866875	17.66403889	1	#B0E0E6
gene_id_68007	4.144209677	8.62409375	5.298486111	1	#B0E0E6
gene_id_68006	17.65271774	32.72070313	31.39316667	1	#B0E0E6
gene_id_98203	8.288764516	6.552076563	1.739761111	1	#B0E0E6
gene_id_58434	20.50532903	19.28171875	11.29058333	1	#B0E0E6
gene_id_58439	17.02525806	15.95460938	8.974	1	#B0E0E6
gene_id_127300	12.24389355	11.83813281	7.268983333	1	#B0E0E6
gene_id_118932	13.76293548	10.9903125	14.14433333	1	#B0E0E6
gene_id_49698	17.77286935	13.67135469	2.954186111	1	#B0E0E6
gene_id_49696	13.89905	10.3229625	2.294119444	1	#B0E0E6
gene_id_129196	8.729806452	8.629621875	5.499247222	1	#B0E0E6
gene_id_42762	8.088083871	10.47584375	7.072716667	1	#B0E0E6
gene_id_40721	13.84896774	15.88171406	1.429455556	1	#B0E0E6
gene_id_128435	13.55058065	12.71199531	8.384227778	1	#B0E0E6
gene_id_40185	8.243725806	9.87619375	1.338144444	1	#B0E0E6
gene_id_40189	11.50294355	13.64490469	1.362936111	1	#B0E0E6
gene_id_82196	10.93123548	9.77925	1.4713	1	#B0E0E6
gene_id_82191	9.454625806	8.9869375	1.826855556	1	#B0E0E6
gene_id_82190	10.28043548	8.964404688	0.859716667	1	#B0E0E6
gene_id_82193	17.93509355	16.007125	2.409558333	1	#B0E0E6
gene_id_58142	7.863983871	7.604823438	3.383286111	1	#B0E0E6
gene_id_58145	12.99375806	12.13498438	6.347488889	1	#B0E0E6
gene_id_58146	12.12882258	11.35910938	5.277466667	1	#B0E0E6
gene_id_31696	2.334714516	12.18543438	7.541569444	1	#B0E0E6
gene_id_32761	1.837716129	10.63251094	6.061588889	1	#B0E0E6
gene_id_102411	4.663201613	7.631571875	15.50028889	1	#B0E0E6
gene_id_90509	4.664627419	5.6204375	13.81972222	1	#B0E0E6
gene_id_92903	23.31160806	26.57504688	35.76248889	1	#B0E0E6
gene_id_58819	10.34546774	9.3331625	4.885705556	1	#B0E0E6
gene_id_127296	6.992919355	7.0461375	4.081244444	1	#B0E0E6
gene_id_82668	12.62340645	11.18859375	3.926522222	1	#B0E0E6
gene_id_96077	9.488440323	7.93010625	2.190283333	1	#B0E0E6
gene_id_70861	19.14642581	10.47988906	3.509105556	1	#B0E0E6
gene_id_46486	8.55631129	5.513320313	4.136230556	1	#B0E0E6
gene_id_56475	8.368383871	5.67990625	4.059866667	1	#B0E0E6
gene_id_56470	17.23166129	15.36740625	10.57098333	1	#B0E0E6
gene_id_130497	15.89220968	17.75669375	23.08738889	1	#B0E0E6
gene_id_57701	8.609677419	8.155514063	4.494972222	1	#B0E0E6
gene_id_57709	7.877548387	7.192303125	3.836713889	1	#B0E0E6
gene_id_132608	23.73132258	35.83528438	8.257327778	1	#B0E0E6
gene_id_132609	5.565119355	17.4493375	13.20914722	1	#B0E0E6
gene_id_128002	9.82356129	9.738007813	6.233055556	1	#B0E0E6
gene_id_80240	7.476370968	6.859529688	4.246919444	1	#B0E0E6
gene_id_97114	21.4752629	17.709175	4.852455556	1	#B0E0E6
gene_id_83123	14.4404	13.08398438	4.259961111	1	#B0E0E6
gene_id_83122	9.959758065	8.700453125	1.699002778	1	#B0E0E6
gene_id_114964	5.20033871	5.817528125	14.23175	1	#B0E0E6
gene_id_89389	5.507482258	6.138926563	12.46597222	1	#B0E0E6
gene_id_89388	10.21785484	11.63014063	20.97233333	1	#B0E0E6
gene_id_82658	8.630746774	7.284860938	0.479102778	1	#B0E0E6
gene_id_82659	12.22813871	9.454684375	0.262538889	1	#B0E0E6
gene_id_82654	9.740098387	8.591703125	0.585180556	1	#B0E0E6
gene_id_82655	15.43059677	13.3005625	2.056605556	1	#B0E0E6
gene_id_89925	6.4665	7.964303125	20.38548889	1	#B0E0E6
gene_id_137141	5.958153226	8.300651563	9.191933333	1	#B0E0E6
gene_id_102239	3.4967	6.110226563	12.21297222	1	#B0E0E6
gene_id_97343	19.4587629	16.09915313	4.696072222	1	#B0E0E6
gene_id_97341	18.06601613	14.96563594	4.013669444	1	#B0E0E6
gene_id_97347	12.09067419	9.875078125	2.548369444	1	#B0E0E6
gene_id_97344	16.38766129	13.2595875	3.829475	1	#B0E0E6
gene_id_97345	16.98950484	14.28279688	3.938672222	1	#B0E0E6
gene_id_97348	16.79174677	13.63785938	3.759802778	1	#B0E0E6
gene_id_91488	4.884095161	5.146534375	12.59819444	1	#B0E0E6
gene_id_128668	9.339612903	7.207178125	1.816727778	1	#B0E0E6
gene_id_100917	3.972590323	6.505489063	13.82606667	1	#B0E0E6
gene_id_100916	7.088364516	12.32534844	25.33978889	1	#B0E0E6
gene_id_100912	4.931890323	8.835117188	19.49763889	1	#B0E0E6
gene_id_82976	21.44566774	17.64940625	5.069827778	1	#B0E0E6
gene_id_82970	25.48259355	21.8403125	4.055255556	1	#B0E0E6
gene_id_130996	9.694322581	7.597070313	9.274688889	1	#B0E0E6
gene_id_130990	34.66429032	35.61859375	25.3275	1	#B0E0E6
gene_id_45632	8.042185484	5.80253125	3.762705556	1	#B0E0E6
gene_id_67608	14.46277419	15.58625	7.215861111	1	#B0E0E6
gene_id_67609	8.058	8.57640625	4.003322222	1	#B0E0E6
gene_id_97065	11.07179032	11.085	8.761597222	1	#B0E0E6
gene_id_81011	30.18549355	31.93022656	28.96053889	1	#B0E0E6
gene_id_81010	19.82784032	20.29574063	16.36446667	1	#B0E0E6
gene_id_81012	16.48248065	16.76853281	14.77414722	1	#B0E0E6
gene_id_84199	12.60948387	12.50703125	5.528405556	1	#B0E0E6
gene_id_90952	4.603385484	5.548940625	13.73419444	1	#B0E0E6
gene_id_97062	15.95514839	12.94534219	3.936608333	1	#B0E0E6
gene_id_40342	13.17848387	15.37681563	1.303658333	1	#B0E0E6
gene_id_40347	7.55718871	8.437864063	0.759333333	1	#B0E0E6
gene_id_40348	7.85106129	8.902992188	0.7572	1	#B0E0E6
gene_id_77987	12.35567742	9.867907813	12.52460833	1	#B0E0E6
gene_id_77988	10.058	8.628265625	10.371525	1	#B0E0E6
gene_id_77989	24.91495161	20.9678125	25.725	1	#B0E0E6
gene_id_81950	7.885946774	6.455796875	2.737555556	1	#B0E0E6
gene_id_128799	12.68441935	12.49029531	7.958305556	1	#B0E0E6
gene_id_40266	7.637033871	8.864260938	0.790886111	1	#B0E0E6
gene_id_99412	14.33998065	12.2884875	4.750369444	1	#B0E0E6
gene_id_99413	7.8272	6.861917188	2.263527778	1	#B0E0E6
gene_id_126988	9.333870968	8.6745125	5.533927778	1	#B0E0E6
gene_id_42470	10.16103226	8.97378125	3.562547222	1	#B0E0E6
gene_id_42471	7.779206452	6.498265625	2.934991667	1	#B0E0E6
gene_id_55444	14.18759677	11.00734375	6.306263889	1	#B0E0E6
gene_id_55443	9.277456452	7.8495625	4.063516667	1	#B0E0E6
gene_id_55441	9.4949	8.7044375	4.605694444	1	#B0E0E6
gene_id_55440	14.27266935	12.9953125	6.539805556	1	#B0E0E6
gene_id_96775	17.27596774	14.25538906	4.188786111	1	#B0E0E6
gene_id_96777	16.80625484	13.64559063	3.974338889	1	#B0E0E6
gene_id_96770	27.32855806	22.42706094	5.958538889	1	#B0E0E6
gene_id_96771	12.71251452	10.26471406	2.903133333	1	#B0E0E6
gene_id_96773	17.04147258	13.87857969	3.778138889	1	#B0E0E6
gene_id_96778	25.19997097	20.52749063	5.806041667	1	#B0E0E6
gene_id_96779	8.783217742	7.024571875	1.791002778	1	#B0E0E6
gene_id_137337	5.278474194	5.293489063	13.03115556	1	#B0E0E6
gene_id_137338	4.351362903	4.42308125	11.12880833	1	#B0E0E6
gene_id_81827	12.80053226	11.06485938	2.691936111	1	#B0E0E6
gene_id_101144	3.751401613	5.97110625	11.72319444	1	#B0E0E6
gene_id_81497	9.553967742	8.1165	1.557886111	1	#B0E0E6
gene_id_115428	7.886769355	9.77063125	19.61972222	1	#B0E0E6
gene_id_56417	11.43185161	10.80487656	6.884830556	1	#B0E0E6
gene_id_89750	5.31916129	5.660384375	12.55841389	1	#B0E0E6
gene_id_99389	13.19167419	10.9432125	3.20505	1	#B0E0E6
gene_id_99384	14.15419839	11.676	3.376288889	1	#B0E0E6
gene_id_99387	14.39023871	11.7832	3.393277778	1	#B0E0E6
gene_id_99382	17.80708065	14.76079063	4.037794444	1	#B0E0E6
gene_id_102148	5.608469355	10.09656563	20.76281389	1	#B0E0E6
gene_id_79480	3.940859677	1.624207813	23.56816667	1	#B0E0E6
gene_id_82564	10.60577419	8.29284375	4.188861111	1	#B0E0E6
gene_id_82567	7.463693548	11.64436406	5.788958333	1	#B0E0E6
gene_id_87767	6.64366129	7.08983125	11.14611111	1	#B0E0E6
gene_id_82560	10.77020968	10.6543125	3.349777778	1	#B0E0E6
gene_id_82561	8.538766129	7.45775	2.421336111	1	#B0E0E6
gene_id_82562	10.98858065	10.3911875	4.357583333	1	#B0E0E6
gene_id_87768	4.874424194	6.098646875	15.53991667	1	#B0E0E6
gene_id_128460	12.12677097	11.54889844	7.715461111	1	#B0E0E6
gene_id_98379	8.242383871	6.928332813	1.891838889	1	#B0E0E6
gene_id_129332	8.952929032	8.562671875	5.422844444	1	#B0E0E6
gene_id_98248	8.972124194	7.181014063	2.121713889	1	#B0E0E6
gene_id_98249	18.9708129	15.49467813	4.334791667	1	#B0E0E6
gene_id_98244	9.023551613	7.2085875	2.004508333	1	#B0E0E6
gene_id_98245	9.730095161	7.69350625	2.180094444	1	#B0E0E6
gene_id_98243	17.7669629	14.42148594	3.807522222	1	#B0E0E6
gene_id_58260	8.151758065	7.596432813	4.307222222	1	#B0E0E6
gene_id_58265	9.17851129	8.77075	4.353091667	1	#B0E0E6
gene_id_82937	10.19237097	8.73133125	1.553225	1	#B0E0E6
gene_id_82936	8.541919355	7.124515625	0.980433333	1	#B0E0E6
gene_id_82939	15.09359032	12.56465469	0.757125	1	#B0E0E6
gene_id_82938	18.73809677	16.87389063	5.901475	1	#B0E0E6
gene_id_96988	14.00089032	11.4293375	3.310105556	1	#B0E0E6
gene_id_100530	3.395269355	6.439509375	16.45536111	1	#B0E0E6
gene_id_83219	9.117462903	8.213617188	0.671608333	1	#B0E0E6
gene_id_83212	10.92933871	9.3308125	1.870755556	1	#B0E0E6
gene_id_83217	8.919316129	7.663784375	0.379527778	1	#B0E0E6
gene_id_83216	9.674354839	8.56284375	3.410166667	1	#B0E0E6
gene_id_127267	10.52035484	10.57529688	6.722330556	1	#B0E0E6
gene_id_127264	8.030370968	7.964073438	4.939430556	1	#B0E0E6
gene_id_127263	8.415758065	8.250353125	5.019552778	1	#B0E0E6
gene_id_127268	8.035204839	7.748890625	4.995558333	1	#B0E0E6
gene_id_88301	5.755969355	6.519440625	16.06738889	1	#B0E0E6
gene_id_110783	11.41075	12.1267375	4.763097222	1	#B0E0E6
gene_id_57263	22.33085161	21.49701719	12.89661111	1	#B0E0E6
gene_id_57264	35.54670968	32.45546875	19.04053889	1	#B0E0E6
gene_id_99029	17.23070484	14.04670156	4.018988889	1	#B0E0E6
gene_id_99028	21.26494355	18.09725156	5.7417	1	#B0E0E6
gene_id_99516	8.957274194	9.39525	4.12955	1	#B0E0E6
gene_id_98319	12.95533065	10.67317188	2.775025	1	#B0E0E6
gene_id_111082	7.699322581	9.063939063	0.014744444	1	#B0E0E6
gene_id_128100	7.395370968	6.92999375	4.471222222	1	#B0E0E6
gene_id_58549	8.579129032	8.001701563	4.850911111	1	#B0E0E6
gene_id_58544	7.067006452	7.169421875	3.5649	1	#B0E0E6
gene_id_67692	8.239785484	17.472175	8.850263889	1	#B0E0E6
gene_id_98724	29.62106935	24.50591719	7.137791667	1	#B0E0E6
gene_id_82018	10.86724194	9.487265625	2.204677778	1	#B0E0E6
gene_id_82019	8.231759677	7.158015625	0.765466667	1	#B0E0E6
gene_id_111843	7.103853226	8.691020313	0.3085	1	#B0E0E6
gene_id_98728	12.19573226	10.11925	2.88735	1	#B0E0E6
gene_id_111846	10.76005323	11.01410156	0.0219	1	#B0E0E6
gene_id_92497	4.168056452	4.827920313	11.56272222	1	#B0E0E6
gene_id_96932	8.023198387	6.756014063	1.887347222	1	#B0E0E6
gene_id_96933	19.86368387	16.68000313	4.909802778	1	#B0E0E6
gene_id_96930	35.95060645	29.81876563	8.078436111	1	#B0E0E6
gene_id_129005	8.167787097	7.200270313	6.142383333	1	#B0E0E6
gene_id_96939	10.57652097	8.767315625	2.535783333	1	#B0E0E6
gene_id_55513	16.16183548	15.21732813	10.07277778	1	#B0E0E6
gene_id_55517	9.827458065	8.731570313	5.583408333	1	#B0E0E6
gene_id_129003	7.470983871	6.810775	5.710527778	1	#B0E0E6
gene_id_42615	16.86601613	26.895	26.62138889	1	#B0E0E6
gene_id_97044	26.80655484	22.01350938	6.084513889	1	#B0E0E6
gene_id_89092	4.341904839	5.21871875	12.61319444	1	#B0E0E6
gene_id_97656	9.007627419	8.417345313	3.083594444	1	#B0E0E6
gene_id_83141	8.012667742	6.799265625	1.643122222	1	#B0E0E6
gene_id_31725	1.302816129	13.80094063	8.824583333	1	#B0E0E6
gene_id_31721	1.774240323	11.5802875	6.026647222	1	#B0E0E6
gene_id_128259	6.892790323	6.904248438	4.529722222	1	#B0E0E6
gene_id_100666	5.194109677	8.29295625	17.83688889	1	#B0E0E6
gene_id_96446	19.34765484	16.39049375	4.866013889	1	#B0E0E6
gene_id_96447	15.75401935	13.08892656	3.789961111	1	#B0E0E6
gene_id_96444	14.05117742	8.402701563	4.681230556	1	#B0E0E6
gene_id_97795	26.81807903	23.16686563	8.507397222	1	#B0E0E6
gene_id_97794	38.91148387	40.56539063	36.37122222	1	#B0E0E6
gene_id_97797	12.25079355	10.18311563	2.7625	1	#B0E0E6
gene_id_97796	19.89408226	16.04892031	4.618477778	1	#B0E0E6
gene_id_97799	18.62533065	15.0457125	4.246555556	1	#B0E0E6
gene_id_97798	26.45056129	22.14886875	6.018680556	1	#B0E0E6
gene_id_36058	9.567309677	4.800453125	6.692030556	1	#B0E0E6
gene_id_111275	7.431801613	8.816059375	0.013672222	1	#B0E0E6
gene_id_114808	7.44936129	10.69081406	2.425891667	1	#B0E0E6
gene_id_55892	7.938062903	7.367479688	5.43725	1	#B0E0E6
gene_id_55894	19.60087097	16.9456875	11.68775556	1	#B0E0E6
gene_id_79576	5.931022581	3.7642	12.08191667	1	#B0E0E6
gene_id_135492	33.00557581	59.0435	31.04386944	1	#B0E0E6
gene_id_40791	9.079166129	10.58465469	0.971480556	1	#B0E0E6
gene_id_40798	8.467016129	10.04062188	0.867113889	1	#B0E0E6
gene_id_98586	16.68478548	13.73373594	3.6575	1	#B0E0E6
gene_id_129100	6.809451613	6.694732813	4.299316667	1	#B0E0E6
gene_id_44029	13.19485484	21.05428125	20.09413889	1	#B0E0E6
gene_id_98580	16.13418065	12.66307969	4.235722222	1	#B0E0E6
gene_id_136760	4.724119355	6.17368125	9.683433333	1	#B0E0E6
gene_id_98589	11.28073387	9.1820625	2.530638889	1	#B0E0E6
gene_id_92542	6.717746774	8.037660938	17.80647222	1	#B0E0E6
gene_id_98588	21.09271935	17.08231406	4.904344444	1	#B0E0E6
gene_id_68165	8.080370968	10.53001563	7.766222222	1	#B0E0E6
gene_id_58772	13.9598129	13.3805625	6.967775	1	#B0E0E6
gene_id_58770	12.02456452	10.50860938	6.185136111	1	#B0E0E6
gene_id_89491	20.13932258	16.56734375	10.69836111	1	#B0E0E6
gene_id_128910	14.45882258	14.30601563	8.241833333	1	#B0E0E6
gene_id_128914	8.850532258	8.810059375	5.334594444	1	#B0E0E6
gene_id_88722	4.876806452	6.10711875	15.40516667	1	#B0E0E6
gene_id_102268	5.592419355	9.840040625	21.75966667	1	#B0E0E6
gene_id_97393	19.64345968	16.78933906	4.916133333	1	#B0E0E6
gene_id_137184	5.79801129	8.304334375	11.57389167	1	#B0E0E6
gene_id_101770	5.350364516	8.914446875	18.08183333	1	#B0E0E6
gene_id_39652	11.24009677	12.77404375	1.121116667	1	#B0E0E6
gene_id_137580	8.158922581	10.63199219	16.30716944	1	#B0E0E6
gene_id_99101	8.348466129	7.374442188	2.147297222	1	#B0E0E6
gene_id_58194	11.57541613	10.49702344	6.199425	1	#B0E0E6
gene_id_99108	15.81630323	12.98555	3.44125	1	#B0E0E6
gene_id_98003	8.13316129	6.710453125	5.045277778	1	#B0E0E6
gene_id_98007	26.00129032	24.37578125	20.33314722	1	#B0E0E6
gene_id_55914	9.30348871	8.179782813	5.393972222	1	#B0E0E6
gene_id_55916	8.824322581	7.95278125	5.238619444	1	#B0E0E6
gene_id_55912	19.69112097	18.154625	11.53784444	1	#B0E0E6
gene_id_137053	4.685932258	6.226909375	9.561466667	1	#B0E0E6
gene_id_117632	7.986077419	6.765690625	5.180205556	1	#B0E0E6
gene_id_97591	13.03648226	10.12651563	2.810344444	1	#B0E0E6
gene_id_90147	13.96892419	13.79068125	31.62686944	1	#B0E0E6
gene_id_103005	6.932391935	11.05431875	23.71438889	1	#B0E0E6
gene_id_55131	10.73520968	10.291375	6.326788889	1	#B0E0E6
gene_id_105129	22.18445161	22.418125	28.26777778	1	#B0E0E6
gene_id_110983	7.872058065	9.538926563	0.015963889	1	#B0E0E6
gene_id_78330	22.1546871	21.84992188	22.17225	1	#B0E0E6
gene_id_78331	71.31962903	69.8943125	72.28763889	1	#B0E0E6
gene_id_127549	11.97927097	12.13382813	7.628311111	1	#B0E0E6
gene_id_100192	3.779658065	5.9757875	12.85205556	1	#B0E0E6
gene_id_89237	7.715467742	9.453835938	24.64733333	1	#B0E0E6
gene_id_35992	10.25757097	7.1925625	1.170497222	1	#B0E0E6
gene_id_3867	43.58423548	48.80226875	51.79877778	1	#B0E0E6
gene_id_137682	5.063282258	7.19850625	7.413530556	1	#B0E0E6
gene_id_100302	3.705870968	6.566134375	14.2025	1	#B0E0E6
gene_id_101606	4.733919355	7.780901563	14.51766667	1	#B0E0E6
gene_id_57875	16.44821935	14.57542188	4.406236111	1	#B0E0E6
gene_id_111061	10.60502581	10.82528594	0.021844444	1	#B0E0E6
gene_id_54824	13.30802903	10.75753125	7.975758333	1	#B0E0E6
gene_id_88548	4.515016129	5.957017188	15.64355556	1	#B0E0E6
gene_id_45049	9.926775806	8.926470313	3.798933333	1	#B0E0E6
gene_id_57883	12.79875484	12.09124688	6.475138889	1	#B0E0E6
gene_id_55038	12.75191935	11.12114063	7.405772222	1	#B0E0E6
gene_id_55036	7.221075806	6.506734375	3.996847222	1	#B0E0E6
gene_id_116717	2.414129032	4.157910938	16.61325	1	#B0E0E6
gene_id_83080	15.58338065	14.70567188	6.536527778	1	#B0E0E6
gene_id_83081	9.508369355	8.286398438	0.313555556	1	#B0E0E6
gene_id_83087	8.853403226	8.389171875	1.138269444	1	#B0E0E6
gene_id_83089	10.30733387	9.71465625	1.619388889	1	#B0E0E6
gene_id_92336	4.575920968	5.69358125	13.13294444	1	#B0E0E6
gene_id_25488	6.751380645	7.49934375	10.19813611	1	#B0E0E6
gene_id_58308	10.22356452	9.98760625	5.238088889	1	#B0E0E6
gene_id_99278	15.72871452	12.761	3.376544444	1	#B0E0E6
gene_id_99270	17.31644355	14.07491094	4.080877778	1	#B0E0E6
gene_id_99271	24.93253226	20.26669688	5.507183333	1	#B0E0E6
gene_id_99272	9.029366129	7.294723438	1.919944444	1	#B0E0E6
gene_id_99274	13.62302258	10.17800469	2.498944444	1	#B0E0E6
gene_id_99276	11.07975806	9.04309375	2.740002778	1	#B0E0E6
gene_id_99277	11.50794032	9.195382813	2.357930556	1	#B0E0E6
gene_id_80978	23.4025	26.5090625	19.58855556	1	#B0E0E6
gene_id_97823	13.98548871	11.81765	3.056580556	1	#B0E0E6
gene_id_97821	14.41650484	11.91010781	3.609313889	1	#B0E0E6
gene_id_111828	8.262230645	9.6027375	0.017175	1	#B0E0E6
gene_id_100892	3.514687097	5.674059375	11.78967778	1	#B0E0E6
gene_id_100893	5.9925	9.489078125	19.75472222	1	#B0E0E6
gene_id_97825	19.23098065	15.76151563	4.496044444	1	#B0E0E6
gene_id_128515	7.133930645	7.14454375	3.676361111	1	#B0E0E6
gene_id_97410	22.82546774	19.17183906	5.832183333	1	#B0E0E6
gene_id_56361	14.48667742	14.01511094	8.960775	1	#B0E0E6
gene_id_43936	10.40832581	8.033870313	2.165272222	1	#B0E0E6
gene_id_89300	4.860809677	4.788128125	12.85847222	1	#B0E0E6
gene_id_57149	7.912345161	7.579873438	3.732688889	1	#B0E0E6
gene_id_57141	7.597519355	7.137382813	3.650947222	1	#B0E0E6
gene_id_82809	9.071919355	7.400125	2.979822222	1	#B0E0E6
gene_id_82808	9.047627419	7.743765625	1.647841667	1	#B0E0E6
gene_id_82807	8.505025806	7.227079688	0.7724	1	#B0E0E6
gene_id_82805	10.59062419	8.888609375	0.947336111	1	#B0E0E6
gene_id_82803	10.57332258	9.237734375	2.717888889	1	#B0E0E6
gene_id_82802	11.11759677	9.939453125	2.464166667	1	#B0E0E6
gene_id_82800	9.588951613	7.999251563	0.965513889	1	#B0E0E6
gene_id_111300	7.898335484	9.404854688	0.211175	1	#B0E0E6
gene_id_81570	15.86831613	8.270879688	1.896219444	1	#B0E0E6
gene_id_115892	30.82498387	35.54996875	51.65919444	1	#B0E0E6
gene_id_128322	13.12394194	12.6051375	7.921888889	1	#B0E0E6
gene_id_115272	6.282353226	4.10564375	8.059358333	1	#B0E0E6
gene_id_115273	6.90936129	4.411409375	10.45395556	1	#B0E0E6
gene_id_88235	9.435959677	9.453625	24.12463889	1	#B0E0E6
gene_id_98468	10.6831129	4.111921875	3.61675	1	#B0E0E6
gene_id_99599	19.23433871	17.88890625	12.63777778	1	#B0E0E6
gene_id_98668	11.28110806	9.221396875	2.445947222	1	#B0E0E6
gene_id_98669	27.49096935	22.20048125	6.044763889	1	#B0E0E6
gene_id_99597	20.84185484	19.8190625	14.3225	1	#B0E0E6
gene_id_87636	4.821716129	7.10481875	18.12717778	1	#B0E0E6
gene_id_110588	8.99386129	7.910879688	0.025677778	1	#B0E0E6
gene_id_98429	16.99935484	13.79140156	3.721516667	1	#B0E0E6
gene_id_99339	14.87913065	12.55419063	3.769197222	1	#B0E0E6
gene_id_99338	20.76477097	17.39327188	4.6395	1	#B0E0E6
gene_id_99335	9.099793548	7.659557813	2.269944444	1	#B0E0E6
gene_id_99337	14.67412258	12.32404219	3.308216667	1	#B0E0E6
gene_id_99331	13.42595806	11.20972969	3.136488889	1	#B0E0E6
gene_id_99330	7.973653226	6.649270313	2.130411111	1	#B0E0E6
gene_id_99333	8.067262903	6.766764063	1.698055556	1	#B0E0E6
gene_id_137272	6.349016129	8.133820313	14.25235278	1	#B0E0E6
gene_id_24520	12.42106452	11.49189063	11.45193333	1	#B0E0E6
gene_id_97500	84.00622581	85.13282813	63.14858333	1	#B0E0E6
gene_id_97501	36.96790323	38.0609375	24.87583333	1	#B0E0E6
gene_id_96076	25.50160645	21.3859875	6.231141667	1	#B0E0E6
gene_id_96075	17.75753065	14.59684375	4.30065	1	#B0E0E6
gene_id_92377	5.934524194	7.63456875	19.49294444	1	#B0E0E6
