names	plsda1	plsda2	group
CO01	-1.75382931726711	-0.799171185234233	CO
CO02	-3.4322695966877	0.0934366178448215	CO
CO03	-6.0993566992251	1.22897231534399	CO
CO04	-1.22747692913926	1.28476722009665	CO
CO05	-6.753666762631	1.7402324844367	CO
CO06	0.671476070717552	-3.65332237097972	CO
CO07	0.15954073645818	0.399267200030872	CO
CO08	0.171235320789388	-0.541800141774262	CO
CO09	-5.09636127829183	2.40467472664166	CO
CO10	-0.221184611454465	-0.194146278659988	CO
CO11	-2.95511927355289	-0.419040544518735	CO
CO12	-0.101001551609267	0.747573646939623	CO
CO13	-4.41904106861931	2.38566634449242	CO
CO14	-4.24335820779583	0.209178719207549	CO
CO15	-9.27197246070797	3.35491654859764	CO
CO16	-1.88002803387818	-1.20341516176747	CO
CO17	-1.91983016535293	0.903294513696106	CO
CO18	1.26614940917981	-0.48550286273159	CO
CO19	-7.64341450454212	2.21866043911514	CO
CO20	-2.00297774233001	1.38002426609432	CO
CO21	3.61659578398812	0.575911333121155	CO
CO22	-5.74119241774545	-0.948112939520838	CO
CO23	-0.571057047046894	-1.5621550287425	CO
CO24	-0.169824047672097	-1.79696283548792	CO
CO25	-4.30295941909764	0.614931111725063	CO
CO26	2.76847815714754	1.89102388976969	CO
CO27	-6.95073442701869	-0.539284826764065	CO
CO28	-1.21089062983815	-1.37298890342911	CO
CO29	-5.41192124076839	1.40487499153434	CO
CO30	0.320941286711128	2.58021002939686	CO
CO31	-7.83936944800043	1.1862974116098	CO
CO32	-3.33268472807271	-0.75051978816715	CO
CO33	-4.46919696294988	0.210353251814427	CO
CO34	-2.22670778321513	-2.46788006628795	CO
CO35	3.74954476104915	-0.628185210080003	CO
CO36	1.01068837652287	-0.564163928912644	CO
CO37	1.24886911532471	-1.36352529574079	CO
CO38	-9.27905612131318	2.13633717561264	CO
CO39	11.1849553197104	-0.446122888781924	CO
CO40	-8.82625033638055	-0.953599565351416	CO
CO41	4.80192749752541	4.32349456939411	CO
CO42	5.73328733777461	3.69774237159726	CO
CO43	7.04115490939028	0.218949172051745	CO
CO44	-7.67468797873827	0.170205810718513	CO
CO45	-7.05172408770479	0.265084416749003	CO
CO46	-6.26515151381562	0.958703519737793	CO
CO47	-2.89985778305485	-2.44347720453617	CO
CO48	-6.48500842224561	1.524287141442	CO
CO49	1.44615735298168	-1.87079816702442	CO
CO50	-7.03715853074675	1.20450532441969	CO
CO51	0.285133211800873	-0.271010643045626	CO
CO52	-9.08012506892849	1.83640674597795	CO
CO53	-0.735752994360415	-0.889418190871629	CO
CO54	-4.76707959111735	2.95220927963142	CO
CO55	4.21627460727928	-0.303323510918309	CO
CO56	2.80955291022983	-1.70978150477824	CO
CO57	-4.44655416668922	2.03925712246949	CO
CO58	6.48445428127883	3.96997911305697	CO
CO59	-5.05522199951185	-0.140152918304338	CO
CO60	-4.52266813871864	-0.101941074891157	CO
CO61	-4.51417022774365	-1.13581471620533	CO
CO62	-3.97447074607967	2.055972297562	CO
GR06	-1.10884678477975	-0.362708875722726	GR
GR07	1.68886095625817	-2.16227368254007	GR
GR08	2.15439418963889	2.44006561054968	GR
GR09	6.87989741295841	2.48272655660037	GR
GR10	6.92327309140749	2.96661738007911	GR
GR11	10.7280640718257	0.365252009403834	GR
GR12	10.8582007326171	-0.0944767964036904	GR
GR13	8.75676853208349	4.73138219394709	GR
GR14	8.93756224836007	3.91292262672089	GR
GR15	9.059737563686	0.660148979149951	GR
GR16	0.0606478834725351	1.44065311513762	GR
GR17	0.253431717619242	1.57141906098804	GR
GR18	6.41519039187583	-2.60616344506376	GR
GR19	6.28721132571259	-2.27718947136336	GR
GR20	9.88703851099325	-1.18168076852916	GR
GR21	8.42947716855951	3.14467496641979	GR
GR22	8.22818504196287	3.35827406796018	GR
GR23	7.05522973304923	-1.39010235935398	GR
GR24	6.42937408546023	-2.11351741219861	GR
GR25	7.59451670230245	2.48334092916947	GR
GR26	7.28383087600857	2.99614722296466	GR
GR27	9.20549349607648	-0.856445065341811	GR
GR28	2.94140885451762	0.533869221102623	GR
GR29	2.91371276439622	0.60349100972143	GR
GR30	5.16841980217935	1.94978662952297	GR
GR31	5.84610185184289	2.28058964781483	GR
GR32	7.23555038103951	-0.464929414563383	GR
GR33	7.3798858124661	-0.463631602426163	GR
GR34	9.48030256068198	-0.463666358468935	GR
GR35	4.08102847816742	0.309652000779317	GR
GR36	3.46594992590141	2.09091888472544	GR
GS05	4.66857181907906	-0.808754725858319	GS
GS06	2.0873481481679	-2.00352555715964	GS
GS08	1.65579679945523	-3.22198036132665	GS
GS09	2.79772942194552	-2.86743465189037	GS
GS10	4.5633908219821	-0.969962945555301	GS
GS11	4.24652595907321	-1.00340490039426	GS
GS12	-4.79956064180389	-0.994162067809452	GS
GS13	3.70452121452701	-2.84336575272223	GS
GS14	3.70940133319984	-3.00762844907794	GS
GS15	-4.40220269508839	-1.03396807175779	GS
GS16	-3.82061423186748	-0.964755530641171	GS
GS17	-2.26384814566949	1.52152595995195	GS
GS18	-4.22102670440595	1.30989242762468	GS
GS19	2.50153015144157	-1.09373126712465	GS
GS20	-1.50773760552395	-1.49949375197355	GS
GS21	0.358520861180237	-1.58124561359867	GS
GS22	1.39157531888242	-2.65640159398622	GS
GS23	-6.38644670120162	0.65341652770593	GS
GS24	-0.00355106498546523	2.21036598768799	GS
GS25	-0.472611246190981	-0.572277493201824	GS
GS26	-0.696887674003691	-0.633865741426895	GS
GS27	-4.98803352516343	-0.0732108039831997	GS
GS28	4.46611852383076	-2.92893024451504	GS
